table_id,table_desc,n,subset,var,outcome,est,ci_lower,ci_upper,p
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 1*Time,Memory,Reference,,,
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 2*Time,Memory,-0.008,-0.032,0.008,0.219
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 3*Time,Memory,-0.024,-0.040,-0.004,0.017
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 1*Time,Verbal fluency,Reference,,,
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 2*Time,Verbal fluency,-0.024,-0.048,-0.008,0.006
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 3*Time,Verbal fluency,-0.040,-0.064,-0.024,<0.001
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 1*Time,Executive function,Reference,,,
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 2*Time,Executive function,0.000,-0.024,0.024,0.976
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 3*Time,Executive function,-0.002,-0.024,0.016,0.852
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 1*Time,Global cognition,Reference,,,
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 2*Time,Global cognition,-0.016,-0.032,-0.001,0.030
1,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up,12772,,Tertile 3*Time,Global cognition,-0.024,-0.040,-0.016,<0.001
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 1*Time,Memory,Reference,,,
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 2*Time,Memory,-0.008,-0.032,0.008,0.209
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 3*Time,Memory,-0.024,-0.040,-0.002,0.027
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 1*Time,Verbal fluency,Reference,,,
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 2*Time,Verbal fluency,-0.024,-0.040,-0.007,0.007
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 3*Time,Verbal fluency,-0.040,-0.056,-0.024,<0.001
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 1*Time,Executive function,Reference,,,
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 2*Time,Executive function,0.006,-0.016,0.024,0.595
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 3*Time,Executive function,-0.006,-0.024,0.016,0.538
2,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up using next observation carried backward,12772,,Tertile 1*Time,Global cognition,Reference,,,
